,Song,Artist(s),Writer(s),Album,Year,Lyrics,Type
183,Should've Said No,Taylor Swift,Taylor Swift,Taylor Swift,2006,"It's strange to think the songs we used to sing
The smiles, the flowers, everything is gone
Yesterday, I found out about you
Even now, just lookin' at you feels wrong

You say that you'd take it all back
Given one chance
It was a moment of weakness
And you said yes

You should've said no, you should've gone home
You should've thought twice 'fore you let it all go
You should've known that word
'Bout what you did with her'd get back to me (Get back to me)
And I should've been there, in the back of your mind
I shouldn't be asking myself why
You shouldn't be begging for forgiveness at my feet
You should've said no
Baby, and you might still have me

You can see that I've been cryin'
And baby, you know all the right things to say
But do you honestly expect me to believe
We could ever be the same?
You say that the past is the past
You need one chance
It was a moment of weakness
And you said yes

You should've said no, you should've gone home
You should've thought twice 'fore you let it all go
You should've known that word
'Bout what you did with her'd get back to me (Get back to me)
And I should've been there, in the back of your mind
I shouldn't be asking myself why
You shouldn't be begging for forgiveness at my feet
You should've said no
Baby, and you might still have me
Oh, oh

I can't resist
Before you go, tell me this
Was it worth it?
Was she worth this?
No, no
No, no, no, no
You should've said no, you should've gone home
You should've thought twice 'fore you let it all go
You should've known that word
'Bout what you did with her'd get back to me (Get back to me)
And I should've been there, in the back of your mind
I shouldn't be asking myself why
You shouldn't be begging for forgiveness at my feet
You should've said no
Baby, and you might still have me",Solo
184,Silent Night (cover),Taylor Swift,Josef Mohr Franz Xaver Gruber,Sounds of the Season,2007,"Silent night, holy night
All is calm, all is bright
Round yon Virgin, Mother and Child
Holy infant so tender and mild
Sleep in heavenly peace
Sleep in heavenly peace

Silent night, Silent night
Holy night, Holy night
All is calm, all is bright
Round yon Virgin, Mother and Child
Holy infant so tender and mild
Sleep in heavenly peace
Sleep in heavenly peace",Cover
185,Snow on the Beach,Taylor Swift featuring Lana Del Rey,Taylor Swift Lana Del Rey Jack Antonoff,Midnights,2022,"One night, a few moons ago
I saw flecks of what could've been lights
But it might just have been you
Passing by unbeknownst to me
Life is emotionally abusive
And time can't stop me quite like you did
And my flight was awful, thanks for asking
I'm unglued, thanks to you

And it's like snow at the beach
Weird, but fuckin' beautiful
Flying in a dream
Stars by the pocketful
You wanting me
Tonight feels impossible
But it's comin' down
No sound, it's all around

Like snow on the beach
Like snow on the beach
Like snow on the beach
Like snow, ah
This scene feels like what I once saw on a screen
I searched ""aurora borealis green""
I've never seen someone lit from within
Blurring out my periphery
My smile is like I won a contest
And to hide that would be so dishonest
And it's fine to fake it 'til you make it
'Til you do, 'til it's true

Now it's like snow at the beach
Weird, but fuckin' beautiful
Flying in a dream
Stars by the pocketful
You wanting me
Tonight feels impossible
But it's comin' down
No sound, it's all around

Like snow on the beach
Like snow on the beach
Like snow on the beach
Like snow, ah
I (I) can't (Can't) speak, afraid to jinx it
I (I) don't (Don't) even dare to wish it
But your eyes are flying saucers from another planet
Now I'm all for you like Janet
Can this be a real thing? Can it?

Are we falling like snow at the beach? (Snow at the beach)
Weird, but fuckin' beautiful
Flying in a dream (Flying in a dream)
Stars by the pocketful
You wanting me (You wanting me)
Tonight feels impossible
But it's comin' down
No sound, it's all around

Like snow on the beach (Snow on the beach)
Like snow on the beach (Flying in a dream)
Like snow on the beach (You wanting me)
Like snow, ah
But it's comin' down
No sound, it's all around

Like snow on the beach
(It's comin' down, it's comin' down)
(It's comin' down, it's comin' down)
Like snow on the beach
(It's comin' down, it's comin' down)
(It's comin' down, it's comin' down)
(It's comin' down, it's comin' down)
(It's comin' down, it's comin' down)
(It's comin' down, it's comin' down)
(It's comin' down, it's comin' down)",Feature
186,So It Goes...,Taylor Swift,Taylor Swift Max Martin Shellback Oscar Görres,Reputation,2017,"See you in the dark
All eyes on you, my magician
All eyes on us
You make everyone disappear, and
Cut me into pieces
Gold cage, hostage to my feelings
Back against the wall
Trippin', trip-trippin' when you're gone

'Cause we break down a little
But when you get me alone, it's so simple
'Cause, baby, I know what you know
We can feel it

And all the pieces fall right into place
Getting caught up in a moment
Lipstick on your face
So it goes
I'm yours to keep
And I'm yours to lose
You know I'm not a bad girl, but I
Do bad things with you
So it goes
Met you in a bar
All eyes on me, your illusionist
All eyes on us
I make all your gray days clear
And wear you like a necklace
I'm so chill, but you make me jealous
But I got your heart
Skippin', skip-skippin' when I'm gone

'Cause we break down a little
But when I get you alone, it's so simple
'Cause, baby, I know what you know
We can feel it

And all the pieces fall right into place
Getting caught up in a moment
Lipstick on your face
So it goes
I'm yours to keep
And I'm yours to lose
You know I'm not a bad girl, but I
Do bad things with you
So it goes
Come here, dressed in black now
So, so, so it goes
Scratches down your back now
So, so, so it goes

You did a number on me
But, honestly, baby, who's counting?
I did a number on you
But, honestly, baby, who's counting?
You did a number on me
But, honestly, baby, who's counting?
Who's counting? (One, two, three)

And all the pieces fall (Pieces fall) right into place
Getting caught up in a moment (Caught up, caught up)
Lipstick on your face
So it goes
I'm yours to keep (Oh)
And I'm yours to lose (Baby)
You know I'm not a bad girl, but I
Do bad things with you
So it goes
Come here, dressed in black now
So, so, so it goes
Scratches down your back now
So, so, so it goes
Come here, dressed in black now
So, so, so it goes
Scratches down your back now
So, so, so it goes",Solo
187,Soon You'll Get Better,Taylor Swift  featuring Dixie Chicks,Taylor Swift Jack Antonoff,Lover,2019,"The buttons of my coat were tangled in my hair
In doctor's office lighting, I didn't tell you I was scared
That was the first time we were there
Holy orange bottles, each night, I pray to you
Desperate people find faith, so now I pray to Jesus too
And I say to you...

Ooh-ah
Soon, you'll get better
Ooh-ah
Soon, you'll get better
Ooh-ah
You'll get better soon
'Cause you have to

I know delusion when I see it in the mirror
You like the nicer nurses, you make the best of a bad deal
I just pretend it isn't real
I'll paint the kitchen neon, I'll brighten up the sky
I know I'll never get it, there's not a day that I won't try
And I say to you...

Ooh-ah
Soon, you'll get better
Ooh-ah
Soon, you'll get better
Ooh-ah
You'll get better soon
'Cause you have to
And I hate to make this all about me
But who am I supposed to talk to?
What am I supposed to do
If there's no you?

This won't go back to normal, if it ever was
It's been years of hoping, and I keep saying it because
'Cause I have to

Ooh-ah
You'll get better
Ooh-ah
Soon, you'll get better
Ooh-ah
You'll get better soon
Ooh-ah
Soon, you'll get better
Ooh-ah
Soon, you'll get better
Ooh-ah
You'll get better soon
'Cause you have to",Feature
188,Sparks Fly,Taylor Swift,Taylor Swift,Speak Now,2010,"The way you move is like a full on rainstorm and I'm a house of cards
You're the kind of reckless that should send me runnin'
But I kinda know that I won't get far
And you stood there in front of me, just close enough to touch
Close enough to hope you couldn't see what I was thinkin' of

Drop everything now, meet me in the pouring rain
Kiss me on the sidewalk, take away the pain
'Cause I see sparks fly whenever you smile
Get me with those green eyes, baby, as the lights go down
Give me something that'll haunt me when you're not around
'Cause I see sparks fly whenever you smile

My mind forgets to remind me you're a bad idea
You touch me once and it's really somethin'
You find I'm even better than you imagined I would be
I'm on my guard for the rest of the world
But with you, I know it's no good
And I could wait patiently, but I really wish you would

Drop everything now, meet me in the pouring rain
Kiss me on the sidewalk, take away the pain
'Cause I see sparks fly whenever you smile
Get me with those green eyes, baby, as the lights go down
Give me something that'll haunt me when you're not around
'Cause I see sparks fly whenever you smile
I run my fingers through your hair and watch the lights go wild
Just keep on keepin' your eyes on me, it's just wrong enough to make it feel right
And lead me up the staircase, won't you whisper soft and slow?
I'm captivated by you, baby, like a firework show

Drop everything now, meet me in the pouring rain
Kiss me on the sidewalk (Ah-ah), take away the pain
'Cause I see sparks fly whenever you smile
Get me with those green eyes, baby, as the lights go down
Give me something that'll haunt me when you're not around
'Cause I see sparks fly whenever you smile

And the sparks fly
Oh, baby, smile
And the sparks fly",Solo
189,Speak Now,Taylor Swift,Taylor Swift,Speak Now,2010,"I am not the kind of girl
Who should be rudely bargin' in on a white veil occasion
But you are not the kind of boy
Who should be marrying the wrong girl
I sneak in and see your friends
And her snotty little family all dressed in pastel
And she is yelling at a bridesmaid
Somewhere back inside a room
Wearin' a gown shaped like a pastry

This is surely not what you thought it would be
I lose myself in a daydream
Where I stand and say

Don't say yes, run away now
I'll meet you when you're out
Of the church, at the back door
Don't wait or say a single vow
You need to hear me out
And they said, ""Speak now""

Fond gestures are exchanged
And the organ starts to play a song that sounds like a death march
And I am hiding in the curtains
It seems that I was uninvited by your lovely bride-to-be
She floats down the aisle like a pageant queen
But I know you wish it was me
You wish it was me, don't you?

Don't say yes, run away now
I'll meet you when you're out
Of the church, at the back door
Don't wait or say a single vow
You need to hear me out
And they said, ""Speak now""
Don't say yes, run away now (Run away now)
I'll meet you when you're out
Of the church, at the back door
Don't wait or say a single vow (Say a single vow)
Your time is running out
And they said, ""Speak now""

Ooh (Run away now), la
Ooh (Say a single vow), ooh

I hear the preacher say
""Speak now or forever hold your peace""
There's the silence, there's my last chance
I stand up with shaky hands, all eyes on me
Horrified looks from everyone in the room
But I'm only lookin' at you
I am not the kind of girl
Who should be rudely bargin' in on a white veil occasion
But you are not the kind of boy
Who should be marrying the wrong girl, haha

So, don't say yes, run away now
I'll meet you when you're out
Of the church, at the back door
Don't wait or say a single vow
You need to hear me out
They said, ""Speak now""
And you say, ""Let's run away now (Run away now)
I'll meet you when I'm out
Of my tux, at the back door
Baby, I didn't say my vows (Say a single vow)
So glad you were around
When they said, 'Speak now'""",Solo
190,Starlight,Taylor Swift,Taylor Swift,Red and Red (Taylor's Version),2012 and 2021,"I said, ""Oh, my, what a marvelous tune""
It was the best night, never would forget how he moved
The whole place was dressed to the nines
And we were dancing, dancing
Like we're made of starlight
Like we're made of starlight

I met Bobby on the boardwalk, summer of '45
Picked me up, late one night out the window
We were 17 and crazy, running wild, wild
Can't remember what song it was playing when we walked in
The night we snuck into a yacht club party
Pretending to be a duchess and a prince

And I said, ""Oh, my, what a marvelous tune""
It was the best night, never would forget how he moved
The whole place was dressed to the nines
And we were dancing, dancing
Like we're made of starlight, starlight
Like we're made of starlight, starlight

He said, ""Look at you, worrying too much about things you can't change
You'll spend your whole life singing the blues if you keep thinking that way""
He was trying to skip rocks on the ocean, saying to me
""Don't you see the starlight, starlight?
Don't you dream impossible things?""
Like, ""Oh, my, what a marvelous tune""
It was the best night, never would forget how he moved
The whole place was dressed to the nines
And we were dancing, dancing
Like we're made of starlight, starlight
Like we're made of starlight, starlight

Ooh-ooh, he's talking crazy
Ooh-ooh, dancing with me
Ooh-ooh, we could get married
Have ten kids and teach 'em how to dream


Oh, my, what a marvelous tune
It was the best night, never would forget how he moved
The whole place was dressed to the nines
And we were dancing, dancing
Like we're made of starlight, starlight
Like we're made of starlight, starlight

Like we're made of starlight, starlight
Like we dream impossible dreams
Like starlight, starlight
Like we dream impossible dreams
Don't you see the starlight, starlight?
Don't you dream impossible things?",Solo
191,State of Grace,Taylor Swift,Taylor Swift,Red and Red (Taylor's Version),2012 and 2021,"I'm walking fast through the traffic lights
Busy streets and busy lives
And all we know is touch and go
We are alone with our changing minds
We fall in love 'til it hurts or bleeds
Or fades in time

And I never (Never)
Saw you coming
And I'll never (Never)
Be the same

You come around and the armor falls
Pierce the room like a cannonball
Now, all we know is don't let go
We are alone, just you and me
Up in your room and our slates are clean
Just twin fire signs, four blue eyes

So you were never a saint
And I've loved in shades of wrong
We learn to live with the pain
Mosaic broken hearts
But this love is brave and wild
And I never (Never)
Saw you coming
And I'll never (Never)
Be the same

This is a state of grace
This is the worthwhile fight
Love is a ruthless game
Unless you play it good and right
These are the hands of fate
You're my Achilles heel
This is the golden age
Of something good and right and real

And I never (Never)
Saw you coming
And I'll never
Be the same

And I never (Never)
Saw you coming
And I'll never (So you were never a saint)
(And I've loved in shades of wrong)
Be the same (We learn to live with the pain)
(Mosaic broken hearts)
(But this love is brave and wild)
This is a state of grace
This is the worthwhile fight
Love is a ruthless game
Unless you play it good and right",Solo
192,Stay Beautiful,Taylor Swift,Taylor Swift Liz Rose,Taylor Swift,2006,"Corey's eyes are like a jungle
He smiles, it's like the radio
He whispers songs into my window
In words that nobody knows
There's pretty girls on every corner
They watch him as he's walking home
Saying, ""Does he know?""
Will you ever know?

You're beautiful, every little piece, love
Don't you know you're really gonna be someone?
Ask anyone
And when you find everything you looked for
I hope your life leads you back to my door
Oh, but if it don't
Stay beautiful

Cory finds another way to be
The highlight of my day
I'm taking pictures in my mind
So I can save 'em for a rainy day
It's hard to make a conversation
When he's taking my breath away
I should say, ""Hey, by the way""
You're beautiful, every little piece, love
Don't you know you're really gonna be someone?
Ask anyone
And when you find everything you looked for
I hope your life leads you back to my door
Oh, but if it don't
Stay beautiful

If you and I are a story
That never gets told
If what you are is a daydream
I'll never get to hold, at least you'll know

You're beautiful, every little piece, love
Don't you know you're really gonna be someone?
Ask anyone
And when you find everything you looked for
I hope your life leads you back to my front door
Oh, but if it don't
Will you stay beautiful, beautiful, beautiful?
Beautiful, beautiful, beautiful

La-la-la
Oh-oh-oh
Oh-oh-oh-oh
Oh, but if it don't
Stay beautiful, stay beautiful
Na-na-na, na-na",Solo
193,Stay Stay Stay,Taylor Swift,Taylor Swift,Red and Red (Taylor's Version),2012 and 2021,"I'm pretty sure we almost broke up last night
I threw my phone across the room, at you
I was expecting some dramatic turn away
But you stayed
This morning, I said we should talk about it
'Cause I read you should never leave a fight unresolved
That's when you came in wearing a football helmet
And said, ""Okay, let's talk""
And I said

Stay, stay, stay
I've been loving you for quite some time, time, time
You think that it's funny when I'm mad, mad, mad
But I think that it's best if we both stay

Before you, I'd only dated self-indulgent takers
Who took all of their problems out on me
But you carry my groceries and now, I'm always laughing
And I love you because you have given me
No choice but to

Stay, stay, stay
I've been loving you for quite some time, time, time
You think that it's funny when I'm mad, mad, mad
But I think that it's best if we both stay, stay, stay, stay
You took the time to memorize me
My fears, my hopes, and dreams
I just like hanging out with you all the time
All those times that you didn't leave, it's been occurring to me
I'd like to hang out with you for my whole life

Stay and I'll be loving you for quite some time
No one else is gonna love me when I get mad, mad, mad
So I think that it's best if we both stay, stay
Stay, stay, stay, stay!

Stay, stay, stay
I've been loving you for quite some time, time, time
You think that it's funny when I'm mad, mad, mad
But I think that it's best if we both stay, stay
Stay, stay, stay, stay!

Stay, stay, stay
I've been loving you for quite some time, time, time
You think that it's funny when I'm mad, mad, mad
But I think that it's best if we both stay
(Ha-ha-ha, it's so fun)",Solo
194,The Story of Us,Taylor Swift,Taylor Swift,Speak Now,2010,"I used to think one day, we'd tell the story of us
How we met and the sparks flew instantly
And people would say, ""They're the lucky ones""
I used to know my place was the spot next to you
Now, I'm searching the room for an empty seat
'Cause lately, I don't even know what page you're on

Oh, a simple complication
Miscommunications lead to fallout
So many things that I wish you knew
So many walls up, I can't break through

Now, I'm standing alone in a crowded room
And we're not speaking
And I'm dying to know
Is it killing you like it's killing me? Yeah
I don't know what to say since the twist of fate
When it all broke down
And the story of us looks a lot like a tragedy now

Next chapter
How'd we end up this way?
See me nervously pulling at my clothes and trying to look busy
And you're doing your best to avoid me
I'm starting to think one day, I'll tell the story of us
How I was losing my mind when I saw you here
But you held your pride like you should've held me

Oh, I'm scared to see the ending
Why are we pretending this is nothing?
I'd tell you I miss you, but I don't know how
I've never heard silence quite this loud

Now, I'm standing alone in a crowded room
And we're not speaking
And I'm dying to know
Is it killing you like it's killing me? Yeah
I don't know what to say since the twist of fate
When it all broke down
And the story of us looks a lot like a tragedy now

This is looking like a contest
Of who can act like they care less
But I liked it better when you were on my side
The battle's in your hands now
But I would lay my armor down
If you said you'd rather love than fight
So many things that you wish I knew
But the story of us might be ending soon

Now, I'm standing alone in a crowded room
And we're not speaking
And I'm dying to know
Is it killing you like it's killing me? Yeah
I don't know what to say since the twist of fate
When it all broke down
The story of us looks a lot like a tragedy now, now, now
And we're not speaking
And I'm dying to know
Is it killing you like it's killing me? Yeah
I don't know what to say since the twist of fate
'Cause we're goin' down
And the story of us looks a lot like a tragedy now

The end",Solo
195,Style,Taylor Swift,Taylor Swift Max Martin Shellback Ali Payami,1989,2014,"Midnight
You come and pick me up, no headlights
A long drive
Could end in burning flames or paradise
Fade into view, oh
It's been a while since I have even heard from you
(Heard from you)

And I should just tell you to leave
'Cause I know exactly where it leads
But I watch us go 'round and 'round each time

You got that James Dean daydream look in your eye
And I got that red lip classic thing that you like
And when we go crashing down, we come back every time
'Cause we never go out of style, we never go out of style
You got that long hair, slicked back, white t-shirt
And I got that good girl faith and a tight little skirt
And when we go crashing down, we come back every time
'Cause we never go out of style, we never go out of style

So it goes
He can't keep his wild eyes on the road, mmm
Takes me home
The lights are off, he's taking off his coat, mmm, yeah
I say, ""I heard, oh
That you've been out and about with some other girl""
Some other girl
He says, ""What you heard is true
But I can't stop thinking 'bout you and I""
I said, ""I've been there too a few times""

'Cause you got that James Dean daydream look in your eye
And I got that red lip classic thing that you like
And when we go crashing down, we come back every time
'Cause we never go out of style, we never go out of style
You got that long hair, slicked back, white t-shirt
And I got that good girl faith and a tight little skirt (A tight little skirt)
And when we go crashing down, we come back every time
'Cause we never go out of style (We never go, we never go)
We never go out of style

Take me home (Ah)
Just take me home (Ah)
Yeah, just take me home (Ah)
Oh-oh, woah-oh, oh (Out of style)

Oh, you got that James Dean daydream look in your eye
And I got that red lip classic thing that you like
And when we go crashing down (And when we go)
We come back every time
'Cause we never go out of style, we never go out of styleK",Solo
196,Superman,Taylor Swift,Taylor Swift,Speak Now (Deluxe edition),2010,"Tall, dark, and superman
He puts papers in his briefcase and drives away
To save the world or go to work
It's the same thing to me
He's got his mother's eyes, his father's ambition
I wonder if he knows how much that I miss him
I hang on every word you say, yay
And you smile and say, ""How are you?""
I say, ""Just fine""
I always forget to tell you, I love you
I love you forever

I watch superman fly away
You've got a busy day today
Go save the world, I'll be around
I watch superman fly away
Come back, I'll be with you someday
I'll be right here on the ground
When you come back down

Tall, dark and beautiful
He's complicated, he's irrational
But I hope someday you'll take me away and save the day, yeah
Something in his deep brown eyes has me sayin'
He's not all bad like his reputation
And I can't hear one single word they say
And you'll leave, got places to be and I'll be okay
I always forget to tell you I love you
I loved you from the very first day
I watch superman fly away
You've got a busy day today
Go save the world, I'll be around
I watch superman fly away
Come back, I'll be with you someday
I'll be right here on the ground
When you come back down

And I watch you fly around the world
And I hope you don't save some other girl
Don't forget, don't forget about me
I'm far away, but I never let you go
I'm love-struck and looking out the window
Don't forget, don't forget where I'll be

Right here, wishing the flowers were from you
Wishing the card was from you
Wishing the call was from you
'Cause I loved you from the very first day

I watch superman fly away
You've got a busy day today
Go save the world, I'll be around
Forever and ever here
I watch superman fly away
I swear, I'll be with you someday
I'll be right here on the ground
When you come back down
La, la, la, la, la, la
La, la, la, la, la, la
When you come back down",Solo
197,Superstar,Taylor Swift,Taylor Swift,Fearless (Platinum edition)  and Fearless (Taylor's Version),2009 and 2021,"This is wrong but I can't help but feel like
There ain't nothing more right babe
Misty morning comes again and I can't
Help but wish I could see your face
And I knew from the first note played
I'd be breaking all my rules to see you
You smile that beautiful smile and all the girls in the front row
Scream your name

So dim that spotlight, tell me things like
""I can't take my eyes off of you""
I'm no one special, just another wide-eyed girl
Who's desperately in love with you
Give me a photograph to hang on my wall, superstar

Good morning loneliness
Comes around when I'm not dreaming about you
When my world wakes up today
You'll be in another town
And I knew when I saw your face
I'd be counting down the ways to see you
You smile that beautiful smile and all the girls in the front row Scream your name
So dim that spotlight, tell me things like
""I can't take my eyes off of you""
I'm no one special, just another wide-eyed girl
Who's desperately in love with you
Give me a photograph to hang on my wall, superstar

You played in bars, you play guitar
And I'm invisible and everyone knows who you are
And you'll never see, you sing me to sleep
Every night from the radio

So dim that spotlight, tell me things like
""I can't take my eyes off of you""
I'm no one special, just another wide-eyed girl
Who's desperately in love with you
Give me a photograph to hang on my wall, superstar

Sweet, sweet superstar
Superstar",Solo
198,Sweet Nothing,Taylor Swift,Taylor Swift William Bowery,Midnights,2022,"I spy with my little tired eye
Tiny as a firefly
A pebble that we picked up last July
Down deep inside your pocket
We almost forgot it
Does it ever miss Wicklow sometimes?
Ooh, ooh

They said the end is comin'
Everyone's up to somethin'
I find myself runnin' home to your sweet nothings
Outside, they're push and shovin'
You're in the kitchen hummin'
All that you ever wanted from me was sweet nothin'

On the way home
I wrote a poem
You say, ""What a mind""
This happens all the time
Ooh, ooh

'Causе they said the end is comin'
Evеryone's up to somethin'
I find myself runnin' home to your sweet nothings
Outside, they're push and shovin'
You're in the kitchen hummin'
All that you ever wanted from me was nothin'
Industry disruptors and soul deconstructors
And smooth-talking hucksters out glad-handing each other
And the voices that implore, ""You should be doing more""
To you, I can admit that I'm just too soft for all of it
Ooh

They said the end is comin'
Everyone's up to somethin'
I find myself runnin' home to your sweet nothings
Outside, they're push and shovin'
You're in the kitchen hummin'
All that you ever wanted from me was sweet nothin'
They said the end is comin' (They said the end is comin')
Everyone's up to somethin' (Everyone's up to somethin')
I find myself runnin' home to your sweet nothings
Outside, they're push and shovin' (Outside, they're push and shovin')
You're in the kitchen hummin' (You're in the kitchen hummin')
All that you ever wanted from me was sweet nothin'",Solo
199,Sweeter than Fiction,Taylor Swift,Taylor Swift Jack Antonoff,One Chance Soundtrack,2013,"Hit the ground, hit the ground, hit the ground (oh, oh)
Only sound, only sound that you hear is ""no""
You never saw it coming
Slipped when you started running
And now you've come undone and (I, I, I, I)
Seen you fall, seen you crawl on your knees (eh, eh)
Seen you lost in a crowd, seen your colors fade
Wish I could make it better
Someday you won't remember
This pain you thought would last forever and ever

There you stand, ten feet tall
I will say, ""I knew it all along""
Your eyes are wider than distance
This life is sweeter than fiction

Just a shot, just a shot in the dark (oh, oh)
All you got, all you got are your shattered hopes
They never saw it coming
You hit the ground running
And now you're on to something
I, I, I say
What a sight, what a sight when the light came on
Proved me right, proved me right when you proved them wrong
And in this perfect weather
It's like we don't remember
The rain we thought would last forever and ever
There you stand, ten feet tall
I will say, ""I knew it all along""
Your eyes are wider than distance
This life is sweeter than fiction
There you stand, next to me
All at once, the rest is history
Your eyes are wider than distance
This life is sweeter than fiction, fiction

I'll be one of the many saying
Look at you now, look at you now, now
I'll be one of the many saying
You made us proud, you made us proud, proud
I'll be one of the many saying
Look at you now, look at you now, now
I'll be one of the many saying
You made us proud, you made us proud, proud
And when they call your name
And they put your picture in a frame
You know that I'll be there time and again
'Cause I loved you when
When you hit the ground, hit the ground, hit the ground, oh oh
Only sound, only sound that you heard was ""no""
Now in this perfect weather
It's like we don't remember
The rain we thought would last forever and ever
There you stand, ten feet tall
I will say, ""I knew it all along""
Your eyes are wider than distance
This life is sweeter than fiction
There you stand, next to me
All at once, the rest is history
Your eyes are wider than distance
This life is sweeter than fiction, fiction",Solo
200,Teardrops on My Guitar,Taylor Swift,Taylor Swift Liz Rose,Taylor Swift,2006,"Drew looks at me
I fake a smile, so he won't see
That I want and I'm needing
Everything that we should be

I'll bet she's beautiful, that girl he talks about
And she's got everything that I have to live without

Drew talks to me
I laugh 'cause it's just so funny
That I can't even see
Anyone when he's with me

He says he's so in love, he's finally got it right
I wonder if he knows he's all I think about at night

He's the reason for the teardrops on my guitar
The only thing that keeps me wishin' on a wishing star
He's the song in the car I keep singing, don't know why I do

Drew walks by me
Can he tell that I can't breathe?
And there he goes, so perfectly
The kind of flawless I wish I could be
She'd better hold him tight, give him all her love
Look in those beautiful eyes and know she's lucky 'cause

He's the reason for the teardrops on my guitar
The only thing that keeps me wishin' on a wishing star
He's the song in the car I keep singing, don't know why I do

So, I'll drive home alone as I turn off the light
I'll put his picture down and maybe get some sleep tonight

'Cause he's the reason for the teardrops on my guitar
The only one who's got enough of me to break my heart
He's the song in the car I keep singing, don't know why I do

He's the time taken up, but there's never enough
And he's all that I need to fall into
Drew looks at me
I fake a smile, so he won't see",Solo
201,Tell Me Why,Taylor Swift,Taylor Swift Liz Rose,Fearless and Fearless (Taylor's Version),2008 and 2021,"I took a chance, I took a shot
And you might think I'm bulletproof, but I'm not
You took a swing, I took it hard
And down here from the ground, I see who you are

I'm sick and tired of your attitude
I'm feeling like I don't know you
You tell me that you love me, then cut me down
And I need you like a heartbeat
But you know you got a mean streak
That makes me run for cover when you're around
And here's to you and your temper
Yes, I remember what you said last night
And I know that you see what you're doing to me
Tell me why

You could write a book on how to ruin someone's perfect day
Well, I get so confused and frustrated
Forget what I'm trying to say, oh

I'm sick and tired of your reasons
I got no one to believe in
You tell me that you want me, then push me around
And I need you like a heartbeat
But you know you got a mean streak
That makes me run for cover when you're around
Here's to you and your temper
Yes, I remember what you said last night
And I know that you see what you're doing to me
Tell me why
Why do you have to make me feel small
So you can feel whole inside?
Why do you have to put down my dreams
So you're the only thing on my mind?

I'm sick and tired of your attitude
I'm feeling like I don't know you
You tell me that you want me, then cut me down
I'm sick and tired of your reasons
I've got no one to believe in
You ask me for my love, then you push me around
Here's to you and your temper
Yes, I remember what you said last night
And I know that you see what you're doing to me
Tell me why (Why)
Tell me why (Why)

I take a step back, let you go
I told you I'm not bulletproof
Now you know",Solo
202,That's When,Taylor Swift featuring Keith Urban,Taylor Swift Brad Warren Brett Warren,Fearless (Taylor's Version),2021,"You said, ""I know""
When I said, ""I need some time, need some space
To think about all of this""
And you watched me go
And I knew my words were hard to hear
And harder to ever take back

And I said, ""When can I-I-I come back?""

And you said, ""That's when
When I wake up in the morning
That's when, when it's sunny or storming
Laughing, when I'm crying
And that's when I'll be waiting at the front gate
That's when, when I see your face
I'll let you in, and baby, that's when""
Mm, mm

I said, ""I know""
When you said, ""I did you wrong, made mistakes
And put you through all of this"" (Through all of this)
Then through the phone
Came all your tears
And I said, ""Leave those all in our past""
And you said, ""When can I-I-I come back?""

And I said, ""That's when
When I wake up in the morning
That's when, when it's sunny or storming
Laughing, when I'm crying
And that's when I'll be waiting at the front gate
That's when, when I see your face
I'll let you in, and baby, that's when""

And you said, ""Honestly
When you were gone
Did you ever think of me?""
And I said

""That's when, when I woke up in the morning
That's when it was sunny or storming
Laughing, when I was crying
And that's when you were waiting at the front gate
That's when, when I saw your face
You let me in, and baby, that's when""
That's when, when I wake up in the morning (Yeah)
That's when, when it's sunny or storming
When I'm laughing, when I'm crying
(That's when I'll be waiting at the front gate)
That's when I miss you, that's when I want you
(That's when, when I see your face)
That's when I love you, that's when",Feature
203,This Is Me Trying,Taylor Swift,Taylor Swift Jack Antonoff,Folklore,2020,"I've been having a hard time adjusting
I had the shiniest wheels, now they're rusting
I didn't know if you'd care if I came back
I have a lot of regrets about that
Pulled the car off the road to the lookout
Could've followed my fears all the way down
And maybe I don't quite know what to say
But I'm here in your doorway

I just wanted you to know that this is me trying
I just wanted you to know that this is me trying
They told me all of my cages were mental
So I got wasted like all my potential
And my words shoot to kill when I'm mad
I have a lot of regrets about that
I was so ahead of the curve, the curve became a sphere
Fell behind all my classmates and I ended up here
Pouring out my heart to a stranger
But I didn't pour the whiskey

I just wanted you to know that this is me trying
I just wanted you to know that this is me trying
At least I'm trying

And it's hard to be at a party when I feel like an open wound
It's hard to be anywhere these days when all I want is you
You're a flashback in a film reel on the one screen in my town

And I just wanted you to know that this is me trying
(And maybe I don't quite know what to say)
I just wanted you to know that this is me trying

At least I'm trying",Solo
